,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2020-02-17,9706.0,0.28736,267.85,73.41,0.0026999
2020-02-18,10164.71,0.29827,282.61,77.25,0.0028286
2020-02-19,9593.79,0.27466,258.45,70.61,0.0026085
2020-02-20,9596.42,0.2709,256.96,69.4,0.002653
2020-02-21,9677.05,0.27418,265.27,73.25,0.0026481
2020-02-22,9650.86,0.27468,261.57,74.79,0.0025887
2020-02-23,9936.4,0.28298,274.48,79.52,0.0026772
2020-02-24,9656.13,0.2704,265.52,75.59,0.0025769
2020-02-25,9315.84,0.25209,246.67,70.98,0.0024734
2020-02-26,8785.25,0.22915,223.93,60.53,0.0023439
2020-02-27,8823.21,0.2385,227.79,61.77,0.0023255
2020-02-28,8692.91,0.23663,226.76,59.89,0.0022823
2020-02-29,8523.61,0.22892,217.21,58.05,0.0022153
2020-03-01,8531.88,0.22696,217.81,57.7,0.0022794
2020-03-02,8915.24,0.23958,231.97,61.42,0.0023471
2020-03-03,8760.07,0.23428,223.91,61.01,0.0024985
2020-03-04,8750.87,0.23453,224.26,60.38,0.0024187
2020-03-05,9054.68,0.23909,228.38,62.06,0.0024771
2020-03-06,9131.88,0.24477,244.88,63.22,0.0024862
2020-03-07,8886.66,0.23622,237.23,60.46,0.0024066
2020-03-08,8033.31,0.20385,199.43,51.0,0.0021671
2020-03-09,7929.87,0.20952,202.81,50.39,0.0022203
2020-03-10,7894.56,0.21185,200.7,50.26,0.0022053
2020-03-11,7934.52,0.20813,194.61,48.53,0.0021716
2020-03-12,4800.0,0.13549,107.82,29.83,0.0015996
2020-03-13,5578.6,0.15872,134.06,37.52,0.001746
2020-03-14,5172.06,0.14588,122.54,34.4,0.0016632
2020-03-15,5361.3,0.15308,123.78,36.38,0.0016932
2020-03-16,5028.97,0.14102,111.02,33.2,0.0015817
2020-03-17,5312.64,0.14694,115.67,34.07,0.0016219
2020-03-18,5393.04,0.1476,118.11,34.71,0.0016002
2020-03-19,6162.37,0.1646,136.3,38.9,0.00177
2020-03-20,6208.36,0.15695,133.48,38.08,0.0017802
2020-03-21,6186.98,0.15797,132.66,38.32,0.0017849
2020-03-22,5816.19,0.14776,122.32,35.4,0.0017264
2020-03-23,6467.31,0.15854,135.92,38.94,0.0018192
2020-03-24,6744.72,0.16225,138.42,40.57,0.0018641
2020-03-25,6677.43,0.16168,136.1,39.17,0.0018296
2020-03-26,6737.36,0.17593,138.4,40.41,0.0018519
2020-03-27,6359.11,0.17269,131.33,38.04,0.0017766
2020-03-28,6236.65,0.17543,130.98,38.87,0.001783
2020-03-29,5881.42,0.16278,124.5,37.11,0.0017099
2020-03-30,6394.38,0.17112,132.06,38.91,0.0017957
2020-03-31,6410.44,0.17353,132.72,39.08,0.0018041
2020-04-01,6642.92,0.17494,135.69,39.23,0.0018631
2020-04-02,6794.09,0.17828,141.28,39.86,0.0018777
2020-04-03,6734.1,0.17957,141.31,40.46,0.0018467
2020-04-04,6856.99,0.18114,144.1,40.71,0.0018697
2020-04-05,6772.78,0.17925,142.68,40.31,0.00185
