,ETH
2019-02-02,110.42000000
2019-02-01,106.73000000
2019-01-31,106.44000000
2019-01-30,108.29000000
2019-01-29,104.45000000
2019-01-28,105.50000000
2019-01-27,112.05000000
2019-01-26,115.34000000
2019-01-25,115.11000000
2019-01-24,116.39000000
2019-01-23,116.44000000
2019-01-22,117.81000000
2019-01-21,115.63000000
2019-01-20,117.47000000
2019-01-19,122.60000000
2019-01-18,119.17000000
2019-01-17,121.54000000
2019-01-16,121.48000000
2019-01-15,118.95000000
2019-01-14,126.95000000
2019-01-13,114.16000000
2019-01-12,123.35000000
2019-01-11,124.65000000
2019-01-10,124.95000000
2019-01-09,148.10000000
2019-01-08,147.60000000
2019-01-07,149.34000000
2019-01-06,153.86000000
2019-01-05,152.83000000
2019-01-04,151.97000000
2019-01-03,146.30000000
2019-01-02,152.01000000
2019-01-01,139.10000000
2018-12-31,131.45000000
2018-12-30,137.77000000
2018-12-29,132.89000000
2018-12-28,135.30000000
2018-12-27,113.80000000
2018-12-26,129.35000000
2018-12-25,127.60000000
2018-12-24,138.03000000
2018-12-23,129.03000000
2018-12-22,115.20000000
2018-12-21,107.69000000
2018-12-20,114.05000000
2018-12-19,98.74000000
2018-12-18,100.39000000
2018-12-17,94.02000000
2018-12-16,84.67000000
2018-12-15,83.76000000
2018-12-14,83.82000000
2018-12-13,86.34000000
2018-12-12,89.41000000
2018-12-11,87.76000000
2018-12-10,89.91000000
2018-12-09,93.26000000
2018-12-08,90.38000000
2018-12-07,93.05000000
2018-12-06,91.00000000
2018-12-05,102.71000000
2018-12-04,109.94000000
2018-12-03,108.76000000
2018-12-02,116.57000000
2018-12-01,118.10000000
2018-11-30,113.73000000
2018-11-29,117.98000000
2018-11-28,122.90000000
2018-11-27,111.43000000
2018-11-26,110.68000000
2018-11-25,118.67000000
2018-11-24,114.89000000
2018-11-23,125.02000000
2018-11-22,126.63000000
2018-11-21,138.23000000
2018-11-20,133.82000000
2018-11-19,150.81000000
2018-11-18,178.97000000
2018-11-17,176.20000000
2018-11-16,176.89000000
2018-11-15,184.35000000
2018-11-14,187.43000000
2018-11-13,209.84000000
2018-11-12,212.89000000
2018-11-11,212.54000000
2018-11-10,213.25000000
2018-11-09,210.77000000
2018-11-08,212.79000000
2018-11-07,219.07000000
2018-11-06,220.74000000
2018-11-05,210.66000000
2018-11-04,212.11000000
2018-11-03,200.31000000
2018-11-02,202.35000000
2018-11-01,199.96000000
2018-10-31,198.73000000
2018-10-30,197.27000000
2018-10-29,196.96000000
2018-10-28,204.99000000
2018-10-27,204.45000000
2018-10-26,204.92000000
2018-10-25,203.93000000
2018-10-24,205.35000000
2018-10-23,205.85000000
2018-10-22,206.67000000
2018-10-21,207.49000000
2018-10-20,207.91000000
2018-10-19,205.00000000
2018-10-18,206.24000000
2018-10-17,212.85000000
2018-10-16,215.09000000
2018-10-15,214.39000000
2018-10-14,197.01000000
2018-10-13,201.30000000
2018-10-12,196.96000000
2018-10-11,191.58000000
2018-10-10,226.74000000
2018-10-09,228.40000000
2018-10-08,230.01000000
2018-10-07,226.14000000
2018-10-06,225.40000000
2018-10-05,228.37000000
2018-10-04,222.66000000
2018-10-03,220.77000000
