,XRP
2019-02-07,0.29145000
2019-02-06,0.28940000
2019-02-05,0.29972000
2019-02-04,0.29939000
2019-02-03,0.30219000
2019-02-02,0.31030000
2019-02-01,0.30624000
2019-01-31,0.30911000
2019-01-30,0.32109000
2019-01-29,0.28693000
2019-01-28,0.29223000
2019-01-27,0.30646000
2019-01-26,0.31258000
2019-01-25,0.31384000
2019-01-24,0.31593000
2019-01-23,0.31415000
2019-01-22,0.31762000
2019-01-21,0.31767000
2019-01-20,0.31680000
2019-01-19,0.32670000
2019-01-18,0.32036000
2019-01-17,0.32489000
2019-01-16,0.32570000
2019-01-15,0.32150000
2019-01-14,0.32871000
2019-01-13,0.31132000
2019-01-12,0.32557000
2019-01-11,0.32580000
2019-01-10,0.32464000
2019-01-09,0.36480000
2019-01-08,0.36073000
2019-01-07,0.36022000
2019-01-06,0.36042000
2019-01-05,0.34851000
2019-01-04,0.35308000
2019-01-03,0.35240000
2019-01-02,0.36882000
2019-01-01,0.36080000
2018-12-31,0.34849000
2018-12-30,0.36489000
2018-12-29,0.35593000
2018-12-28,0.36997000
2018-12-27,0.33368000
2018-12-26,0.37253000
2018-12-25,0.37598000
2018-12-24,0.40092000
2018-12-23,0.36690000
2018-12-22,0.35644000
2018-12-21,0.35428000
2018-12-20,0.37228000
2018-12-19,0.34468000
2018-12-18,0.34979000
2018-12-17,0.32721000
2018-12-16,0.28669000
2018-12-15,0.28422000
2018-12-14,0.28816000
2018-12-13,0.29934000
2018-12-12,0.30463000
2018-12-11,0.29904000
2018-12-10,0.29956000
2018-12-09,0.30914000
2018-12-08,0.30247000
2018-12-07,0.30114000
2018-12-06,0.30919000
2018-12-05,0.33950000
2018-12-04,0.35231000
2018-12-03,0.34827000
2018-12-02,0.36963000
2018-12-01,0.37205000
2018-11-30,0.36466000
2018-11-29,0.38149000
2018-11-28,0.39203000
2018-11-27,0.36500000
2018-11-26,0.36354000
2018-11-25,0.38200000
2018-11-24,0.37982000
2018-11-23,0.41447000
2018-11-22,0.42831000
2018-11-21,0.45367000
2018-11-20,0.44285000
2018-11-19,0.48250000
2018-11-18,0.51611000
2018-11-17,0.49813000
2018-11-16,0.47765000
2018-11-15,0.48931000
2018-11-14,0.48460000
2018-11-13,0.51736000
2018-11-12,0.52450000
2018-11-11,0.51019000
2018-11-10,0.50956000
2018-11-09,0.50440000
2018-11-08,0.49694000
2018-11-07,0.54090000
2018-11-06,0.55523000
2018-11-05,0.50220000
2018-11-04,0.46999000
2018-11-03,0.45713000
2018-11-02,0.46300000
2018-11-01,0.46141000
2018-10-31,0.45418000
2018-10-30,0.44749000
2018-10-29,0.44506000
2018-10-28,0.46472000
2018-10-27,0.46012000
2018-10-26,0.46657000
2018-10-25,0.46351000
2018-10-24,0.46402000
2018-10-23,0.47006000
2018-10-22,0.46192000
2018-10-21,0.46458000
2018-10-20,0.46788000
2018-10-19,0.46077000
2018-10-18,0.46750000
2018-10-17,0.48437000
2018-10-16,0.48352000
2018-10-15,0.46168000
2018-10-14,0.40994000
2018-10-13,0.42270000
2018-10-12,0.42071000
2018-10-11,0.38315000
2018-10-10,0.46605000
2018-10-09,0.48199000
2018-10-08,0.49335000
2018-10-07,0.48269000
2018-10-06,0.48964000
2018-10-05,0.52110000
2018-10-04,0.52940000
2018-10-03,0.52930000
2018-10-02,0.51692000
2018-10-01,0.57760000
2018-09-30,0.58257000
2018-09-29,0.56876000
2018-09-28,0.54025000
2018-09-27,0.54305000
2018-09-26,0.51300000
2018-09-25,0.52560000
2018-09-24,0.49358000
2018-09-23,0.57190000
2018-09-22,0.57368000
2018-09-21,0.56405000
2018-09-20,0.44819000
2018-09-19,0.32679000
2018-09-18,0.31897000
2018-09-17,0.27060000
