,Date,BTC,ETH,LTC,XRP
356,2020-06-24,9296.49000000,234.58000000,42.65000000,0.18348000
357,2020-06-23,9624.89000000,243.14000000,44.18000000,0.18889000
358,2020-06-22,9685.69000000,243.13000000,44.30000000,0.18928000
359,2020-06-21,9294.69000000,228.04000000,43.00000000,0.18602000
360,2020-06-20,9358.95000000,228.89000000,43.57000000,0.18792000
361,2020-06-19,9310.23000000,229.00000000,42.89000000,0.18722000
362,2020-06-18,9386.32000000,231.27000000,43.43000000,0.18975000
363,2020-06-17,9465.14000000,233.82000000,44.07000000,0.19315000
364,2020-06-16,9525.59000000,235.30000000,43.88000000,0.19238000
365,2020-06-15,9426.02000000,230.86000000,43.73000000,0.19238000
366,2020-06-14,9342.10000000,231.77000000,44.05000000,0.19022000
367,2020-06-13,9473.34000000,238.11000000,45.08000000,0.19234000
368,2020-06-12,9465.13000000,237.55000000,44.72000000,0.19307000
369,2020-06-11,9280.40000000,230.51000000,43.22000000,0.18817000
370,2020-06-10,9885.00000000,247.78000000,46.63000000,0.20266000
371,2020-06-09,9772.43000000,243.80000000,45.87000000,0.20127000
372,2020-06-08,9782.01000000,246.40000000,46.43000000,0.20403000
373,2020-06-07,9746.99000000,244.56000000,46.63000000,0.20329000
374,2020-06-06,9666.30000000,241.94000000,46.79000000,0.20361000
375,2020-06-05,9621.16000000,240.03000000,46.83000000,0.20274000
376,2020-06-04,9789.06000000,243.21000000,47.43000000,0.20427000
377,2020-06-03,9666.24000000,244.52000000,47.16000000,0.20410000
378,2020-06-02,9518.04000000,237.71000000,45.99000000,0.20301000
379,2020-06-01,10200.77000000,248.23000000,48.25000000,0.21100000
380,2020-05-31,9448.27000000,231.57000000,45.61000000,0.20245000
381,2020-05-30,9697.72000000,243.66000000,47.72000000,0.20701000
382,2020-05-29,9427.07000000,220.67000000,44.47000000,0.19759000
383,2020-05-28,9575.89000000,220.21000000,44.77000000,0.20052000
384,2020-05-27,9204.07000000,208.29000000,43.85000000,0.19791000
385,2020-05-26,8841.18000000,200.89000000,42.27000000,0.19372000
386,2020-05-25,8900.35000000,204.15000000,42.97000000,0.19622000
387,2020-05-24,8720.34000000,199.90000000,42.08000000,0.19256000
388,2020-05-23,9179.15000000,206.60000000,43.85000000,0.19883000
389,2020-05-22,9170.00000000,207.36000000,44.23000000,0.20034000
390,2020-05-21,9068.65000000,198.74000000,42.73000000,0.19434000
391,2020-05-20,9511.43000000,209.98000000,44.25000000,0.20179000
392,2020-05-19,9775.53000000,214.58000000,45.73000000,0.20496000
393,2020-05-18,9733.93000000,214.91000000,45.32000000,0.20543000
394,2020-05-17,9680.04000000,207.00000000,43.71000000,0.20131000
395,2020-05-16,9381.27000000,200.45000000,43.25000000,0.19969000
396,2020-05-15,9316.42000000,194.86000000,42.74000000,0.19818000
397,2020-05-14,9791.98000000,203.29000000,43.98000000,0.20386000
398,2020-05-13,9309.37000000,199.58000000,43.18000000,0.20177000
399,2020-05-12,8810.79000000,189.76000000,42.18000000,0.19711000
400,2020-05-11,8561.52000000,185.73000000,41.51000000,0.19254000
401,2020-05-10,8722.77000000,187.54000000,42.06000000,0.19702000
402,2020-05-09,9539.40000000,210.07000000,46.95000000,0.21642000
403,2020-05-08,9800.01000000,211.31000000,47.69000000,0.21865000
